DTG,SSH,SST,Temp,Barometric Pressure,Residuals,Adjusted Residuals,Wind Direction,Wind Gust,Wind Speed,Niue
9/01/2020 21:00,NAN,NAN,NAN,1012.1,-0.068,-0.077,104,7.6,2.5,
9/01/2020 22:00,NAN,NAN,NAN,1011.6,-0.043,-0.055,107,9.9,3.1,
9/01/2020 23:00,NAN,NAN,NAN,1011.5,-0.032,-0.048,119,8.5,3.3,
10/01/2020 0:00,NAN,NAN,NAN,1011,-0.038,-0.056,113,7.8,2,
10/01/2020 1:00,NAN,NAN,NAN,1010.5,-0.057,-0.08,90,7.7,2.4,
10/01/2020 2:00,NAN,NAN,NAN,1009.8,-0.059,-0.087,106,11.4,2.2,
10/01/2020 3:00,NAN,NAN,NAN,1009.3,-0.045,-0.08,117,7.1,2.7,
10/01/2020 4:00,NAN,NAN,NAN,1009.5,-0.03,-0.07,88,9.5,2.5,
10/01/2020 5:00,NAN,NAN,NAN,1009.8,-0.042,-0.079,109,8.1,1.8,
10/01/2020 6:00,NAN,NAN,NAN,1010.3,-0.042,-0.075,116,5.5,1.5,
10/01/2020 7:00,NAN,NAN,NAN,1010.8,-0.038,-0.067,103,4,1.3,
10/01/2020 8:00,NAN,NAN,NAN,1011.1,-0.036,-0.06,129,7.6,1.1,
10/01/2020 9:00,NAN,NAN,NAN,1011.4,-0.044,-0.065,112,4.9,0.9,
10/01/2020 10:00,NAN,NAN,NAN,1011.4,-0.057,-0.076,125,2.9,1.1,
10/01/2020 11:00,NAN,NAN,NAN,1010.8,-0.06,-0.079,138,2.7,0.4,
10/01/2020 12:00,NAN,NAN,NAN,1010.3,-0.043,-0.068,125,2.7,1,
10/01/2020 13:00,NAN,NAN,NAN,1009.7,-0.034,-0.064,129,4.8,1.2,
10/01/2020 14:00,NAN,NAN,NAN,1009.1,-0.034,-0.07,128,3,0.9,
10/01/2020 15:00,NAN,NAN,NAN,1009,-0.033,-0.074,82,2.8,0.6,
10/01/2020 16:00,NAN,NAN,NAN,1009,-0.042,-0.084,118,3.1,0.9,
10/01/2020 17:00,NAN,NAN,NAN,1009.4,-0.035,-0.077,113,2.3,0.3,
10/01/2020 18:00,NAN,NAN,NAN,1009.8,-0.049,-0.087,118,1.9,0.9,
10/01/2020 19:00,NAN,NAN,NAN,1009.8,-0.059,-0.093,108,4.4,1.5,
10/01/2020 20:00,NAN,NAN,NAN,1009.5,-0.052,-0.086,93,6.5,2.6,
10/01/2020 21:00,NAN,NAN,NAN,1009.3,-0.055,-0.093,99,8.2,3.3,
10/01/2020 22:00,NAN,NAN,NAN,1009.4,-0.071,-0.11,99,10.7,3.1,
10/01/2020 23:00,NAN,NAN,NAN,1008.8,-0.068,-0.107,84,8.4,2.4,
11/01/2020 0:00,NAN,NAN,NAN,1008.3,-0.058,-0.102,109,7.7,2.6,
11/01/2020 1:00,NAN,NAN,NAN,1008,-0.053,-0.103,94,8.6,2.6,
11/01/2020 2:00,NAN,NAN,NAN,1007.5,-0.041,-0.093,95,7.7,2.6,
11/01/2020 3:00,NAN,NAN,NAN,1007.1,-0.042,-0.1,87,8.5,2,
11/01/2020 4:00,NAN,NAN,NAN,1007.2,-0.044,-0.105,88,8,2.1,
11/01/2020 5:00,NAN,NAN,NAN,1007.5,-0.035,-0.095,100,7.7,2.1,
11/01/2020 6:00,NAN,NAN,NAN,1007.9,-0.023,-0.08,117,4.2,1.5,
11/01/2020 7:00,NAN,NAN,NAN,1008.5,-0.02,-0.072,104,3.6,1.1,
11/01/2020 8:00,NAN,NAN,NAN,1008.9,-0.023,-0.07,124,5,1.4,
11/01/2020 9:00,NAN,NAN,NAN,1009.3,-0.017,-0.06,118,7.2,2.6,
11/01/2020 10:00,NAN,NAN,NAN,1009.4,-0.029,-0.067,121,5.9,0.9,
11/01/2020 11:00,NAN,NAN,NAN,1008.5,-0.049,-0.088,127,2.6,0.4,
11/01/2020 12:00,NAN,NAN,NAN,1007.9,-0.04,-0.088,169,2.2,0.4,
11/01/2020 13:00,NAN,NAN,NAN,1007.3,-0.022,-0.076,151,1.2,0.4,
11/01/2020 14:00,NAN,NAN,NAN,1007.1,-0.011,-0.07,113,1.9,0.3,
11/01/2020 15:00,NAN,NAN,NAN,1006.5,-0.014,-0.076,117,2.2,0.4,
11/01/2020 16:00,NAN,NAN,NAN,1006.8,-0.023,-0.09,170,1.9,0.6,
11/01/2020 17:00,NAN,NAN,NAN,1007.8,-0.025,-0.089,150,2.5,0.3,
11/01/2020 18:00,NAN,NAN,NAN,1008.3,-0.024,-0.078,104,3.5,0.9,
11/01/2020 19:00,NAN,NAN,NAN,1008.4,-0.022,-0.071,106,4.4,1.7,
11/01/2020 20:00,NAN,NAN,NAN,1008.3,-0.017,-0.065,91,6.5,2.3,
11/01/2020 21:00,NAN,NAN,NAN,1008,-0.022,-0.072,80,7.4,2.5,
11/01/2020 22:00,NAN,NAN,NAN,1007.7,-0.028,-0.08,70,8.8,1.8,
11/01/2020 23:00,NAN,NAN,NAN,1007.1,-0.03,-0.086,66,9.4,3.1,
12/01/2020 0:00,NAN,NAN,NAN,1006.7,-0.019,-0.081,70,8.1,2.8,
12/01/2020 1:00,NAN,NAN,NAN,1006.4,-0.011,-0.077,83,7.2,2.9,
12/01/2020 2:00,NAN,NAN,NAN,1006.1,-0.023,-0.092,75,8,2.2,
12/01/2020 3:00,NAN,NAN,NAN,1006.2,-0.036,-0.107,84,8.6,1.5,
12/01/2020 4:00,NAN,NAN,NAN,1006.3,-0.032,-0.102,77,6.5,1.5,
12/01/2020 5:00,NAN,NAN,NAN,1006.6,-0.032,-0.101,106,5.2,1.4,
12/01/2020 6:00,NAN,NAN,NAN,1007.5,-0.035,-0.1,102,4.1,0.6,
12/01/2020 7:00,NAN,NAN,NAN,1008.3,-0.033,-0.089,88,3.3,1.1,
12/01/2020 8:00,NAN,NAN,NAN,1008.4,-0.028,-0.078,115,3.5,0.6,
12/01/2020 9:00,NAN,NAN,NAN,1008.9,-0.031,-0.079,100,3.4,1.1,
12/01/2020 10:00,NAN,NAN,NAN,1009,-0.02,-0.063,78,4.1,0.8,
12/01/2020 11:00,NAN,NAN,NAN,1008.5,-0.049,-0.091,68,4,0.5,
12/01/2020 12:00,NAN,NAN,NAN,1008,-0.068,-0.116,104,2.1,0.6,
12/01/2020 13:00,NAN,NAN,NAN,1007.8,-0.047,-0.099,65,4.4,1.2,
12/01/2020 14:00,NAN,NAN,NAN,1007.2,-0.041,-0.096,104,4.3,0.3,
12/01/2020 15:00,NAN,NAN,NAN,1007.5,-0.043,-0.102,117,6.8,1.3,
12/01/2020 16:00,NAN,NAN,NAN,1007.5,-0.03,-0.087,141,2.8,1,
12/01/2020 17:00,NAN,NAN,NAN,1007.7,-0.028,-0.085,123,1.9,0.5,
12/01/2020 18:00,NAN,NAN,NAN,1008,-0.025,-0.081,88,2.7,0.9,
